
# Surface 0 of 1 surfaces

# Curve title: "'substitution_2D_example1_data2.txt' using 'x':'y':'value'"

# IsoCurve 0, 4 points
# x y z type
2.0000000e-01 6.0000000e-01 0.0000000e+00 i
2.0000000e-01 6.0000000e-01 0.0000000e+00 i
3.0000000e-01 6.0000000e-01 0.0000000e+00 i
3.0000000e-01 6.0000000e-01 0.0000000e+00 i

# IsoCurve 1, 4 points
# x y z type
2.0000000e-01 6.0000000e-01 0.0000000e+00 i
2.0000000e-01 6.0000000e-01 4.0000000e-01 i
3.0000000e-01 6.0000000e-01 4.0000000e-01 i
3.0000000e-01 6.0000000e-01 0.0000000e+00 i

# IsoCurve 2, 4 points
# x y z type
2.0000000e-01 3.0000000e-01 0.0000000e+00 i
2.0000000e-01 3.0000000e-01 4.0000000e-01 i
3.0000000e-01 3.0000000e-01 4.0000000e-01 i
3.0000000e-01 3.0000000e-01 0.0000000e+00 i

# IsoCurve 3, 4 points
# x y z type
2.0000000e-01 3.0000000e-01 0.0000000e+00 i
2.0000000e-01 3.0000000e-01 0.0000000e+00 i
3.0000000e-01 3.0000000e-01 0.0000000e+00 i
3.0000000e-01 3.0000000e-01 0.0000000e+00 i

